Energy_MeV,Element,Mu_over_rho,Mu_en_over_rho
0.001,7,3311.0,3306.0
0.002,7,476.9,475.5
0.003,7,145.6,144.7
0.004,7,61.66,60.94
0.005,7,31.44,30.86
0.006,7,18.09,17.59
0.007,7,12.826,12.38
0.008,7,7.562,7.17
0.009,7,5.7205,5.3575
0.01,7,3.879,3.545
0.011,7,3.3504,3.0303
0.012,7,2.8218,2.5156
0.013,7,2.2932,2.0009
0.014,7,1.7646,1.4862
0.015,7,1.236,0.9715
0.016,7,1.11236,0.85454
0.017,7,0.98872,0.73758
0.018,7,0.86508,0.62062
0.019,7,0.74144,0.50366
0.02,7,0.6178,0.3867
0.021,7,0.58668,0.35902
0.022,7,0.55556,0.33134
0.023,7,0.52444,0.30366
0.024,7,0.49332,0.27598
0.025,7,0.4622,0.2483
0.026,7,0.43108,0.22062
0.027,7,0.39996,0.19294
0.028,7,0.36884,0.16526
0.029,7,0.33772,0.13758
0.03,7,0.3066,0.1099
0.031,7,0.29882,0.103961
0.032,7,0.29104,0.098022
0.033,7,0.28326,0.092083
0.034,7,0.27548,0.086144
0.035,7,0.2677,0.080205
0.036,7,0.25992,0.074266
0.037,7,0.25214,0.068327
0.038,7,0.24436,0.062388
0.039,7,0.23658,0.056449
0.04,7,0.2288,0.05051
0.041,7,0.22572,0.048676
0.042,7,0.22264,0.046842
0.043,7,0.21956,0.045008
0.044,7,0.21648,0.043174
0.045,7,0.2134,0.04134
0.046,7,0.21032,0.039506
0.047,7,0.20724,0.037672
0.048,7,0.20416,0.035838
0.049,7,0.20108,0.034004
0.05,7,0.198,0.03217
0.051,7,0.19637,0.031501
0.052,7,0.19474,0.030832
0.053,7,0.19311,0.030163
0.054,7,0.19148,0.029494
0.055,7,0.18985,0.028825
0.056,7,0.18822,0.028156
0.057,7,0.18659,0.027487
0.058,7,0.18496,0.026818
0.059,7,0.18333,0.026149
0.06,7,0.1817,0.02548
0.061,7,0.18081,0.0253115
0.062,7,0.17992,0.025143
0.063,7,0.17903,0.0249745
0.064,7,0.17814,0.024806
0.065,7,0.17725,0.0246375
0.066,7,0.17636,0.024469
0.067,7,0.17547,0.0243005
0.068,7,0.17458,0.024132
0.069,7,0.17369,0.0239635
0.07,7,0.1728,0.023795
0.071,7,0.17191,0.0236265
0.072,7,0.17102,0.023458
0.073,7,0.17013,0.0232895
0.074,7,0.16924,0.023121
0.075,7,0.16835,0.0229525
0.076,7,0.16746,0.022784
0.077,7,0.16657,0.0226155
0.078,7,0.16568,0.022447
0.079,7,0.16479,0.0222785
0.08,7,0.1639,0.02211
0.081,7,0.16335,0.02212
0.082,7,0.1628,0.02213
0.083,7,0.16225,0.02214
0.084,7,0.1617,0.02215
0.085,7,0.16115,0.02216
0.086,7,0.1606,0.02217
0.087,7,0.16005,0.02218
0.088,7,0.1595,0.02219
0.089,7,0.15895,0.0222
0.09,7,0.1584,0.02221
0.091,7,0.15785,0.02222
0.092,7,0.1573,0.02223
0.093,7,0.15675,0.02224
0.094,7,0.1562,0.02225
0.095,7,0.15565,0.02226
0.096,7,0.1551,0.02227
0.097,7,0.15455,0.02228
0.098,7,0.154,0.02229
0.099,7,0.15345,0.0223
0.1,7,0.1529,0.02231
0.101,7,0.152548,0.0223582
0.102,7,0.152196,0.0224064
0.103,7,0.151844,0.0224546
0.104,7,0.151492,0.0225028
0.105,7,0.15114,0.022551
0.106,7,0.150788,0.0225992
0.107,7,0.150436,0.0226474
0.108,7,0.150084,0.0226956
0.109,7,0.149732,0.0227438
0.11,7,0.14938,0.022792
0.111,7,0.149028,0.0228402
0.112,7,0.148676,0.0228884
0.113,7,0.148324,0.0229366
0.114,7,0.147972,0.0229848
0.115,7,0.14762,0.023033
0.116,7,0.147268,0.0230812
0.117,7,0.146916,0.0231294
0.118,7,0.146564,0.0231776
0.119,7,0.146212,0.0232258
0.12,7,0.14586,0.023274
0.121,7,0.145508,0.0233222
0.122,7,0.145156,0.0233704
0.123,7,0.144804,0.0234186
0.124,7,0.144452,0.0234668
0.125,7,0.1441,0.023515
0.126,7,0.143748,0.0235632
0.127,7,0.143396,0.0236114
0.128,7,0.143044,0.0236596
0.129,7,0.142692,0.0237078
0.13,7,0.14234,0.023756
0.131,7,0.141988,0.0238042
0.132,7,0.141636,0.0238524
0.133,7,0.141284,0.0239006
0.134,7,0.140932,0.0239488
0.135,7,0.14058,0.023997
0.136,7,0.140228,0.0240452
0.137,7,0.139876,0.0240934
0.138,7,0.139524,0.0241416
0.139,7,0.139172,0.0241898
0.14,7,0.13882,0.024238
0.141,7,0.138468,0.0242862
0.142,7,0.138116,0.0243344
0.143,7,0.137764,0.0243826
0.144,7,0.137412,0.0244308
0.145,7,0.13706,0.024479
0.146,7,0.136708,0.0245272
0.147,7,0.136356,0.0245754
0.148,7,0.136004,0.0246236
0.149,7,0.135652,0.0246718
0.15,7,0.1353,0.02472
0.151,7,0.13506,0.0247586
0.152,7,0.13482,0.0247972
0.153,7,0.13458,0.0248358
0.154,7,0.13434,0.0248744
0.155,7,0.1341,0.024913
0.156,7,0.13386,0.0249516
0.157,7,0.13362,0.0249902
0.158,7,0.13338,0.0250288
0.159,7,0.13314,0.0250674
0.16,7,0.1329,0.025106
0.161,7,0.13266,0.0251446
0.162,7,0.13242,0.0251832
0.163,7,0.13218,0.0252218
0.164,7,0.13194,0.0252604
0.165,7,0.1317,0.025299
