E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_1.56keV,subshell_MT535_0.12keV,subshell_MT536_0.08keV,subshell_MT537_0.08keV,subshell_MT538_0.01keV,subshell_MT539_0.01keV,subshell_MT540_0.01keV
314.0,0.44070691494564496,0.006261754440551965,0.4322829868084891,0.0,0.0,0.0,0.002162173692883798,0.0020115087348699136,0.00013950681156547172,4.3795394953256895e-07,7.184484355470927e-07,9.994170189339455e-06,2.8545038851337516e-09,4.7471231117247655e-09
315.0,0.44012995623322687,0.006223476314044133,0.43176541178061517,0.0,0.0,0.0,0.002141067967913624,0.001991836439797832,0.00013817794561266008,4.3330705014247666e-07,7.106783002013301e-07,9.902067696858215e-06,2.8235646393728574e-09,4.698987909547646e-09
316.0,0.4395544642739696,0.0061851981875363,0.4312478367527413,0.0,0.0,0.0,0.00212142946612738,0.0019736294432725365,0.0001368490796598484,4.2866015075238436e-07,7.03295944059828e-07,9.81150785975828e-06,2.794582498606346e-09,4.6508527073705275e-09
317.0,0.43901133346390936,0.006146920061028468,0.4307624987062955,0.0,0.0,0.0,0.0021019150165275716,0.001955546343598894,0.00013552021370703677,4.2401325136229207e-07,6.960951144765188e-07,9.720948022658348e-06,2.765717912187472e-09,4.602717505193408e-09
318.0,0.438477931859695,0.006108641934520636,0.4302867898880685,0.0,0.0,0.0,0.0020825003645004937,0.0019374632439252515,0.00013429094452853572,4.19565393749997e-07,6.888942848932097e-07,9.630388185558414e-06,2.7368533257685984e-09,4.5545823030162886e-09
319.0,0.4379445350675055,0.006070363808012803,0.4298110810698415,0.0,0.0,0.0,0.0020630903016073373,0.001919380144251609,0.00013306610511203018,4.152897910845932e-07,6.816934553099005e-07,9.53982834845848e-06,2.7079887393497244e-09,4.50644710083917e-09
320.0,0.4374111383894332,0.006032085681504971,0.4293353722516145,0.0,0.0,0.0,0.0020436802510117613,0.0019012970445779665,0.00013184126569552466,4.1101418841918943e-07,6.744926257265913e-07,9.449268511358546e-06,2.679124152930851e-09,4.458752076455951e-09
321.0,0.4368779026243295,0.005993807554997139,0.4288596634333875,0.0,0.0,0.0,0.002024432047661432,0.001883370570719863,0.00013061642627901912,4.067385857537857e-07,6.677868942436381e-07,9.363433573190237e-06,2.650259566511977e-09,4.414599915132851e-09
322.0,0.4363456188247058,0.005955529428489306,0.4283839546151605,0.0,0.0,0.0,0.002006135109551004,0.001866394289048756,0.0001293915868625136,4.024629830883819e-07,6.611485054883458e-07,9.278617609685455e-06,2.6233814776504485e-09,4.370447753809751e-09
323.0,0.43581333508176623,0.005917251301981474,0.4279082457969335,0.0,0.0,0.0,0.001987838160783051,0.001849418007377649,0.00012816674744600806,3.9818738042297815e-07,6.545101167330537e-07,9.193801646180674e-06,2.59682664319582e-09,4.326295592486651e-09
324.0,0.4352810944952368,0.005878973175473642,0.4274325369787065,0.0,0.0,0.0,0.00196958447570744,0.0018324417257065421,0.00012698501251179597,3.940624715505834e-07,6.478717279777614e-07,9.108985682675892e-06,2.5702718087411916e-09,4.2821434311635516e-09
325.0,0.43474891860714654,0.00584069504896581,0.4269568281604794,0.0,0.0,0.0,0.0019513954890969041,0.0018154654440354352,0.00012586626337905474,3.901577618042273e-07,6.412333392224691e-07,9.025630087402264e-06,2.543716974286563e-09,4.2379912698404516e-09
326.0,0.43421756368743886,0.005802416922457977,0.4264811193422524,0.0,0.0,0.0,0.0019340275821543137,0.0017993059349366075,0.00012474751424631353,3.8625305205787116e-07,6.345949504671768e-07,8.946550280978103e-06,2.5171621398319347e-09,4.195329372202142e-09
327.0,0.4336865008961808,0.005764138795950145,0.4260054105240254,0.0,0.0,0.0,0.0019169516813773266,0.0017834384600394937,0.0001236287651135723,3.8234834231151505e-07,6.279565617118846e-07,8.867470474553941e-06,2.4906073053773063e-09,4.153946028886162e-09
328.0,0.43315543815402024,0.0057258606694423125,0.4255297017057984,0.0,0.0,0.0,0.001899876140697445,0.00176757098514238,0.00012251001598083107,3.7849212268037293e-07,6.216529460634864e-07,8.78839066812978e-06,2.465575054440401e-09,4.112562685570182e-09
329.0,0.43262443606833084,0.0056875825429344795,0.4250539928875714,0.0,0.0,0.0,0.0018828608088696745,0.0017517035102452662,0.00012145095209343938,3.7487491169019203e-07,6.156327296881717e-07,8.709310861705618e-06,2.4413296140669534e-09,4.071179342254202e-09
330.0,0.43209579935776404,0.005651646292034277,0.4245782840693444,0.0,0.0,0.0,0.0018658691732746742,0.0017358360353481525,0.00012041559240653053,3.712577007000111e-07,6.096125133128569e-07,8.630231055281457e-06,2.417084173693506e-09,4.030614222567493e-09
331.0,0.43157274838455556,0.0056212956552954075,0.4241025752511174,0.0,0.0,0.0,0.001848877570747408,0.0017199685604510388,0.0001193802327196217,3.676404897098302e-07,6.035922969375423e-07,8.551151248857295e-06,2.3928387333200587e-09,3.992000650382243e-09
332.0,0.4310497180822837,0.005590945018556538,0.4236268664328904,0.0,0.0,0.0,0.0018319070930290658,0.0017041204386633619,0.00011834487303271286,3.6402327871964923e-07,5.975720805622276e-07,8.473859737825884e-06,2.3692905341494596e-09,3.953387078196993e-09
333.0,0.43052791031094545,0.00556059438181767,0.4231511576146634,0.0,0.0,0.0,0.0018161585472930405,0.001689489663199875,0.00011730951334580403,3.6040606772946833e-07,5.915518641869129e-07,8.401164671226384e-06,2.3468238202271327e-09,3.914773506011743e-09
334.0,0.4300061025396072,0.0055302437450788005,0.42267544879643637,0.0,0.0,0.0,0.0018004100015570155,0.0016748588877363883,0.00011627415365889518,3.567888567392874e-07,5.855316478115982e-07,8.328469604626885e-06,2.3243571063048057e-09,3.876159933826493e-09
335.0,0.4294842947943626,0.005499893108339931,0.42219973997820937,0.0,0.0,0.0,0.0017846614849532693,0.0016602281122729014,0.00011523879397198635,3.531716457491064e-07,5.795341039961626e-07,8.255774538027385e-06,2.3018903923824788e-09,3.837546361641243e-09
336.0,0.4289624873635847,0.005469542471601063,0.42172403115998236,0.0,0.0,0.0,0.0017689138315295846,0.0016455973368094145,0.00011420343428507752,3.4973772626309025e-07,5.741691639179294e-07,8.183079471427885e-06,2.279423678460152e-09,3.798932789455993e-09
337.0,0.42844071022625724,0.005439191834862194,0.42124832234175535,0.0,0.0,0.0,0.0017531956941928316,0.0016309665613459278,0.00011319750903049712,3.4641670662844706e-07,5.688042238396961e-07,8.110384404828386e-06,2.256956964537825e-09,3.762869467047222e-09
338.0,0.42791898874672557,0.005408841198123324,0.42077261352352835,0.0,0.0,0.0,0.0017375339001052157,0.001616335785882441,0.00011224794650547489,3.430956869938039e-07,5.634392837614629e-07,8.037689338228886e-06,2.234490250615498e-09,3.727338691611304e-09
339.0,0.4273975115782152,0.005378490561384455,0.42029690470530134,0.0,0.0,0.0,0.001722116370647287,0.0016019480578083696,0.00011129838398045266,3.397746673591608e-07,5.580743436832297e-07,7.96621059802871e-06,2.2120235366931714e-09,3.691807916175386e-09
340.0,0.42687735838719887,0.005348139924645587,0.41982119588707434,0.0,0.0,0.0,0.0017080224206724559,0.0015888772784258551,0.00011034882145543043,3.364536477245176e-07,5.527094036049964e-07,7.90132250446724e-06,2.1910046980488714e-09,3.656277140739468e-09
341.0,0.4263572052445468,0.005317789287906717,0.41934548706884733,0.0,0.0,0.0,0.0016939284800583914,0.0015758064990433406,0.0001093992589304082,3.3313262808987445e-07,5.473444635267632e-07,7.836434410905767e-06,2.1703709696665207e-09,3.62074636530355e-09
342.0,0.4258370512398937,0.005287438651167848,0.41886977825062033,0.0,0.0,0.0,0.0016798347364007566,0.0015627357196608261,0.00010844969640538597,3.299851805413829e-07,5.420634728664637e-07,7.771546317344296e-06,2.1497372412841695e-09,3.585215589867632e-09
343.0,0.4253168990607625,0.00525708801442898,0.4183940694323933,0.0,0.0,0.0,0.0016657413799868739,0.0015496649402783115,0.00010750013388036376,3.2687016456003735e-07,5.370847219690333e-07,7.706658223782825e-06,2.129103512901819e-09,3.5505395259364767e-09
344.0,0.42479680111770324,0.0052267373776901105,0.4179183606141663,0.0,0.0,0.0,0.0016517031275919273,0.001536594160895797,0.00010660568251648867,3.2375514857869176e-07,5.321059710716028e-07,7.641770130221353e-06,2.1084697845194677e-09,3.5186896786003134e-09
345.0,0.4242767075404057,0.005196386740951241,0.4174426517959393,0.0,0.0,0.0,0.001637669430260001,0.0015235233815132825,0.00010571578173259465,3.2064013259734616e-07,5.271272201741724e-07,7.576882036659882e-06,2.087836056137117e-09,3.4868398312641497e-09
346.0,0.42375661483803945,0.005166036104212372,0.4169669429777123,0.0,0.0,0.0,0.001623635739713435,0.001510452602130768,0.00010482588094870063,3.176169817028022e-07,5.221484692767419e-07,7.51199394309841e-06,2.0684462996651985e-09,3.4549899839279865e-09
347.0,0.4232365215710711,0.0051356854674735036,0.4164912341594853,0.0,0.0,0.0,0.0016096022181806087,0.0014973818227482533,0.0001039359801648066,3.147083211128871e-07,5.171749038794803e-07,7.447105849536938e-06,2.0490895125395885e-09,3.4231401365918228e-09
348.0,0.4227167250667365,0.005105334830734634,0.4160155253412583,0.0,0.0,0.0,0.0015958645043468202,0.0014846032013089536,0.00010304780978309398,3.1179966052297197e-07,5.125784235437048e-07,7.38366613183404e-06,2.029732725413978e-09,3.3912902892556595e-09
349.0,0.42219780515623406,0.005074984193995765,0.4155398165230313,0.0,0.0,0.0,0.0015830044091914063,0.0014726403818157592,0.00010221753691723551,3.0889099993305685e-07,5.079819432079293e-07,7.324270760251304e-06,2.010375938288368e-09,3.3594404419194962e-09
350.0,0.421678885852224,0.005044633557256897,0.41506410770480423,0.0,0.0,0.0,0.0015701444094677543,0.0014606775623225649,0.00010138726405137706,3.0598233934314173e-07,5.033854628721538e-07,7.264875388668569e-06,1.991717894508419e-09,3.32817342523661e-09
351.0,0.42115996644775955,0.005014282920518027,0.4145883988865772,0.0,0.0,0.0,0.001557284367130041,0.0014487147428293703,0.0001005569911855186,3.0307367875322667e-07,4.987889825363783e-07,7.205480017085833e-06,1.973638400766707e-09,3.298598349686943e-09
352.0,0.420641047043295,0.004983932283779158,0.4141126900683502,0.0,0.0,0.0,0.0015444243247923278,0.001436751923336176,9.972671831966013e-05,3.0016501816331155e-07,4.941925022006028e-07,7.146084645503097e-06,1.955558907024995e-09,3.2690232741372756e-09
353.0,0.4201221276211194,0.00495358164704029,0.4136369812501232,0.0,0.0,0.0,0.0015315644608296637,0.0014247891038429816,9.889644545380166e-05,2.9742692575028786e-07,4.895960218648273e-07,7.086689273920362e-06,1.9374794132832828e-09,3.2394481985876084e-09
354.0,0.41960320819280456,0.0049232310103014204,0.4131612724318962,0.0,0.0,0.0,0.0015187046586976206,0.001412826284349787,9.80661725879432e-05,2.9474795784114333e-07,4.849995415290518e-07,7.027293902337626e-06,1.9193999195415706e-09,3.209873123037941e-09
355.0,0.41909747684661863,0.004892880373562551,0.4126984105674319,0.0,0.0,0.0,0.0015061861176136116,0.0014012030772362054,9.723589972208473e-05,2.920689899319988e-07,4.804278479162119e-07,6.969583170785937e-06,1.9013204257998584e-09,3.180298047488274e-09
356.0,0.41864915196680735,0.004862529736823683,0.41229248574104965,0.0,0.0,0.0,0.0014941361583792779,0.0013900089558919846,9.644251900993267e-05,2.8939002202285427e-07,4.7625210907513375e-07,6.9140009101240365e-06,1.883240932058146e-09,3.1528213944682775e-09
357.0,0.418205894973302,0.004837218140737125,0.41188656091466735,0.0,0.0,0.0,0.001482115675058624,0.0013788148345477637,9.567863344557877e-05,2.867110541137097e-07,4.720763702340555e-07,6.858418649462135e-06,1.8662993543669287e-09,3.1254997480800058e-09
358.0,0.4177639007931784,0.0048131693296899775,0.4114806360882851,0.0,0.0,0.0,0.0014700951813881675,0.0013676207132035428,9.491474788122488e-05,2.8403208620456516e-07,4.6790063139297735e-07,6.802836388800233e-06,1.8496429387658419e-09,3.0981781016917344e-09
359.0,0.41732190661305474,0.00478912051864283,0.41107471126190287,0.0,0.0,0.0,0.001458074687717711,0.0013564265918593217,9.415086231687098e-05,2.8135311829542063e-07,4.637248925518991e-07,6.747254128138332e-06,1.8329865231647555e-09,3.0708564553034627e-09
360.0,0.4168800960851012,0.004765071707595683,0.4106687864355206,0.0,0.0,0.0,0.0014462377427727673,0.0013454148929023704,9.338697675251709e-05,2.788818391490488e-07,4.5954915371082095e-07,6.692576433231631e-06,1.816330107563669e-09,3.043534808915191e-09
361.0,0.416438873443207,0.004741022896548535,0.4102628616091384,0.0,0.0,0.0,0.001434988732880068,0.0013349882098625445,9.262309118816318e-05,2.764311006495447e-07,4.553734148697427e-07,6.640799617832099e-06,1.7996736919625823e-09,3.0162131625269196e-09
362.0,0.41599765080131285,0.004716974085501388,0.40985693678275614,0.0,0.0,0.0,0.0014237397229873684,0.0013245615268227186,9.185920562380928e-05,2.739803621500405e-07,4.5119767602866455e-07,6.5890228024325664e-06,1.7830172763614957e-09,2.988891516138648e-09
363.0,0.41555642815941873,0.00469292527445424,0.4094510119563739,0.0,0.0,0.0,0.001412490713094669,0.0013141348437828927,9.109532005945539e-05,2.715296236505364e-07,4.470219371875863e-07,6.537245987033034e-06,1.7663608607604091e-09,2.9615698697503765e-09
364.0,0.41511528220239474,0.004668876463407093,0.40904508712999166,0.0,0.0,0.0,0.0014013185132152766,0.0013037081607430669,9.040778125592552e-05,2.691229606824638e-07,4.432658868385605e-07,6.485469171633502e-06,1.7510467637404012e-09,2.936212063799595e-09
365.0,0.41467414307387374,0.004644827652359945,0.4086391623036094,0.0,0.0,0.0,0.0013901529356071065,0.001293281477703241,8.972671027105314e-05,2.66848465091069e-07,4.3954539096532295e-07,6.43369235623397e-06,1.7358463830466565e-09,2.9113721791977935e-09
366.0,0.41423300394535273,0.004620778841312798,0.4082332374772272,0.0,0.0,0.0,0.0013789873579989364,0.001282854794663415,8.904563928618077e-05,2.6457396949967415e-07,4.358248950920854e-07,6.3819155408344374e-06,1.7206460023529118e-09,2.8865322945959925e-09
367.0,0.4137918648168317,0.0045967300302656505,0.40782731265084493,0.0,0.0,0.0,0.0013678217803907663,0.0012724281116235892,8.836456830130839e-05,2.622994739082793e-07,4.321043992188479e-07,6.330138725434904e-06,1.705445621659167e-09,2.861692409994191e-09
368.0,0.4133509724327341,0.004572681219218503,0.4074213878244627,0.0,0.0,0.0,0.0013569029928014364,0.0012622470056817558,8.768349731643603e-05,2.600249783168845e-07,4.283839033456104e-07,6.279579805868084e-06,1.6904526268675289e-09,2.83685252539239e-09
369.0,0.4129106900656962,0.004548632408171356,0.40701546299808045,0.0,0.0,0.0,0.001346594416176847,0.0012526730682736059,8.700242633156366e-05,2.5775048272548964e-07,4.246634074723729e-07,6.232032030389906e-06,1.6763511540908385e-09,2.812012640790589e-09
370.0,0.4124704076986582,0.004524583597124208,0.4066095381716982,0.0,0.0,0.0,0.0013362858395522576,0.001243099130865456,8.632135534669128e-05,2.554759871340948e-07,4.2094291159913534e-07,6.184484254911729e-06,1.6622496813141482e-09,2.7871727561887876e-09
