E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_9.66keV,subshell_MT535_1.20keV,subshell_MT536_1.05keV,subshell_MT537_1.02keV,subshell_MT538_0.14keV,subshell_MT539_0.09keV,subshell_MT540_0.09keV,subshell_MT541_0.01keV,subshell_MT542_0.01keV,subshell_MT543_0.01keV
63.0,7.360099087607502,0.5273833500329693,0.6272910044235469,0.0,0.0,0.0,6.205424766625001,5.549569045740023,0.4931439231363548,0.028446122025188893,0.04634388907011369,0.07294150751743417,0.004068578962528883,0.006603411725475461,3.0157626384375683e-05,3.961190858415422e-05,0.0042385039657167126
64.0,7.058033031620258,0.5125942104069275,0.6268623282355302,0.0,0.0,0.0,5.918576501392082,5.2932431557552695,0.47096201773076174,0.026855202904912567,0.04369576886098764,0.06963777739978576,0.003843528489260411,0.0062244071031579,2.810818273495667e-05,3.689734526432785e-05,0.004049626939465337
65.0,6.777604200297741,0.4998076223025691,0.6263802518029937,0.0,0.0,0.0,5.651416318173138,5.054757826839219,0.45002320502369814,0.025369903935583738,0.04123185320372472,0.066590897106247,0.0036358557490234517,0.005879596655712941,2.6219334158801735e-05,3.438659498892845e-05,0.003866583187524351
66.0,6.511174476282301,0.4870210341982106,0.6258981753704571,0.0,0.0,0.0,5.398255258421237,4.828680417472611,0.43027083871616534,0.02398609565705245,0.03893581359559946,0.06363578625178683,0.003437786559514474,0.005552538164106921,2.4497455762604604e-05,3.207586901889065e-05,0.0036994004175806847
67.0,6.259718718178336,0.47423444609385207,0.6254160989379206,0.0,0.0,0.0,5.160068186092785,4.6155365998988085,0.4120169871802634,0.02271132582216229,0.03681465634830771,0.060890379301865756,0.003256024891249631,0.005249928389276989,2.289018442541521e-05,2.9962833136601448e-05,0.003539424161952708
68.0,6.020895321826576,0.46144785798949356,0.6249340225053841,0.0,0.0,0.0,4.934513462607901,4.413971063233175,0.39439005943379324,0.02151905116751847,0.03483387770795698,0.058305986752369685,0.0030864292278046826,0.004969472943900874,2.1411977131367117e-05,2.8035367949986904e-05,0.003388057192510125
69.0,5.79725727219153,0.44866126988513505,0.6244519460728475,0.0,0.0,0.0,4.724144024609317,4.226088599938555,0.3778959868828281,0.020403379180060025,0.032978952912763766,0.05585144725446327,0.0029269529831613883,0.004706951322484675,2.0053686354351527e-05,2.6226904721796485e-05,0.003245491495637285
70.0,5.585461880435586,0.43835272893855703,0.623969869640311,0.0,0.0,0.0,4.5231392795138365,4.046137077948583,0.36243883692827605,0.019359422747440597,0.03127770767025636,0.05353320325721474,0.0027774218547192654,0.004460854711946044,1.8798555528826887e-05,2.456596193765096e-05,0.0031113821124521303
71.0,5.388248130342169,0.42809461486669353,0.6234877932077744,0.0,0.0,0.0,4.336665703026153,3.8797415412989107,0.3476261519096114,0.018381973526049103,0.029657633234246594,0.051357820634454876,0.0026374312316596,0.004235142753182007,1.7652262125790444e-05,2.304289318089318e-05,0.0029873138736223738
72.0,5.19778278873161,0.41783650079483,0.6230057167752379,0.0,0.0,0.0,4.156940582744336,3.7189201978955366,0.33367904360094053,0.01746577894706968,0.028129477021692047,0.04931556234709833,0.0025069908636002718,0.004020062819889587,1.6588682894903492e-05,2.162732469322013e-05,0.002865252118312482
