E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_80.73keV,subshell_MT535_14.36keV,subshell_MT536_13.74keV,subshell_MT537_11.92keV,subshell_MT538_3.43keV,subshell_MT539_3.15keV,subshell_MT540_2.75keV,subshell_MT541_2.29keV,subshell_MT542_2.21keV,subshell_MT543_0.76keV,subshell_MT544_0.65keV,subshell_MT545_0.55keV,subshell_MT546_0.36keV,subshell_MT547_0.34keV,subshell_MT548_0.09keV,subshell_MT549_0.09keV,subshell_MT550_0.11keV,MT551,MT552,MT553,MT554,MT559
262.0,3.0993230605889117,0.22421478939056294,0.5299177781486172,0.0,0.0,0.0,2.345190488862553,1.9193576189507806,0.21568847213079145,0.0627585204950105,0.04889869621154822,0.04767843396692469,0.014932464593813491,0.012144543076629079,0.0004972850732473137,0.0004860497219321018,0.012070494813937155,0.003699015137174507,0.0029723090595674983,0.00013078241836921495,0.00012610236510119302,6.594516839992932e-07,6.787540461557253e-07,0.002450514875704979,0.000661091885497745,0.0005073826481929313,1.2864592902257561e-05,1.1825070759449326e-05,0.00010468252428277823
263.0,3.074134367060296,0.22251348263020249,0.5293190618959793,0.0,0.0,0.0,2.3223018251974383,1.9008014745693065,0.2136225285568727,0.062080695307515484,0.048321292211901797,0.04721851153088872,0.014765677819070152,0.011999448072398597,0.0004905183689488924,0.00047933250203353357,0.011958769599910556,0.003659538043175021,0.0029382004479309213,0.0001289593062883354,0.00012439103998999044,6.492438172166342e-07,6.682581336070915e-07,0.00242783401770047,0.0006537391682974927,0.000501569001662342,1.2685326169084949e-05,1.1668244541555517e-05,0.00010367364866490062
264.0,3.0490099245798947,0.22081217586984206,0.5287203456433416,0.0,0.0,0.0,2.299477400596345,1.8822453301878326,0.21155658498295393,0.061402870120020464,0.0477815288401709,0.046758589094852754,0.01461323192164375,0.011865121558859191,0.00048403933038288356,0.00047284801881101497,0.01184704438588396,0.0036200609491755346,0.0029040918362943442,0.0001272942867434174,0.00012267971487878786,6.391974896225442e-07,6.578818963033322e-07,0.0024051531596959606,0.0006470358109135234,0.0004959080222967127,1.2521619768078635e-05,1.1511418323661708e-05,0.000102664773047023
265.0,3.023911287407933,0.21911086910948163,0.5281216293907037,0.0,0.0,0.0,2.276678798154739,1.8636891858063585,0.20949064140903517,0.06072830801684503,0.04724176546844,0.046319442649204526,0.01446118094356804,0.011730795045319787,0.0004776886959792428,0.00046652041417326486,0.011735319171857363,0.003580583855176048,0.0028709608262043078,0.00012563362075374376,0.00012100796972361459,6.291511620284543e-07,6.475056589995729e-07,0.0023824723016914514,0.0006403503356124523,0.0004902470429310836,1.2358341867793713e-05,1.1354592105767899e-05,0.00010170144234826363
266.0,2.9988690830082616,0.21740956234912118,0.527522913138066,0.0,0.0,0.0,2.2539365997497387,1.8451330414248845,0.2074246978351164,0.06009475685610068,0.046702002096709105,0.04589429180339339,0.014309129965492329,0.01159646853178038,0.00047133806157560206,0.0004601928095355147,0.011623593957830766,0.0035412162088326975,0.0028390022684433437,0.0001239729547640701,0.00011942308804673604,6.191048344343644e-07,6.371294216958135e-07,0.002359791443686942,0.000633664860311381,0.0004846048422408122,1.219506396750879e-05,1.119776588787409e-05,0.00010076879266401642
267.0,2.9740135155423437,0.21570825558876075,0.5269241968854281,0.0,0.0,0.0,2.2313810566843135,1.8265768970434104,0.2055414544073077,0.05946120569535633,0.04616223872497821,0.04546914095758225,0.014157078987416619,0.011462142018240976,0.00046498742717196136,0.00045411678978089873,0.011511868743804169,0.003505143926036681,0.002807043710682379,0.00012231228877439645,0.00011783820636985749,6.098530556292346e-07,6.275498414124917e-07,0.002337110585682433,0.0006269793850103098,0.000479342527008967,1.2031786067223866e-05,1.10529725672731e-05,9.98361429797692e-05
268.0,2.950057076222834,0.21400694882840032,0.5263254806327904,0.0,0.0,0.0,2.2097246585499466,1.808896084484022,0.20367249212299543,0.05882765453461199,0.045622475353247316,0.04504399011177111,0.014005087383555164,0.011331493168165431,0.00045875246952162,0.00044818082704502086,0.011404665181730694,0.0034690716432406645,0.002775085152921415,0.00012073513950717984,0.00011625332469297894,6.006633844113819e-07,6.180325335108213e-07,0.0023153476113640424,0.0006202939097092386,0.00047408021177712187,1.1876717017641581e-05,1.0909119823549446e-05,9.890349329552198e-05
269.0,2.9264683124907114,0.21230564206803987,0.5257267643801525,0.0,0.0,0.0,2.188435903811662,1.7915626994207523,0.2018035298386832,0.05819410337386764,0.045082711981516414,0.04461883926595997,0.0138628616932928,0.011205176916592665,0.00045286802362696187,0.000442244864309143,0.01130137920769059,0.003432999360444648,0.002743882029023614,0.00011918205961740475,0.00011466844301610039,5.914737131935291e-07,6.085152256091509e-07,0.002294379897313812,0.0006138953181273676,0.0004688178965452767,1.1724013744877518e-05,1.076526707982579e-05,9.797084361127478e-05
270.0,2.9031674120263196,0.21082520356500883,0.5251280481275148,0.0,0.0,0.0,2.167214165608421,1.7742293143574825,0.19993456755437095,0.05758604699963522,0.044583048790631935,0.044193800953315286,0.013720636003030437,0.011078860665019898,0.00044698357773230376,0.00043630890157326504,0.011198093233650487,0.0033969270776486316,0.002713693205025386,0.00011762897972762965,0.00011319722753878734,5.823272504009426e-07,5.994294875291908e-07,0.002273412183263581,0.0006076724876133051,0.00046355558131343157,1.1571310472113455e-05,1.0624943249009638e-05,9.703844062789545e-05
271.0,2.880068292017636,0.20950467460176658,0.5245293318748769,0.0,0.0,0.0,2.1460342736601135,1.7568959292942128,0.19806560527005868,0.05698885541091811,0.04408606875678271,0.04379691057120344,0.013578410312768071,0.01095254441344713,0.0004410991318376456,0.0004304377072093631,0.011094807259610383,0.0033608547948526146,0.0026835043810271584,0.00011608023781161048,0.00011174662371136597,5.73748575326449e-07,5.904219936690718e-07,0.0022524444692133497,0.0006014496570992425,0.0004582932660815864,1.1419033518412064e-05,1.0488780360283206e-05,9.616774495366488e-05
