E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_88.01keV,subshell_MT535_15.87keV,subshell_MT536_15.21keV,subshell_MT537_13.04keV,subshell_MT538_3.86keV,subshell_MT539_3.56keV,subshell_MT540_3.07keV,subshell_MT541_2.59keV,subshell_MT542_2.49keV,subshell_MT543_0.90keV,subshell_MT544_0.77keV,subshell_MT545_0.65keV,subshell_MT546_0.44keV,subshell_MT547_0.42keV,subshell_MT548_0.15keV,subshell_MT549_0.14keV,subshell_MT550_0.15keV,MT551,MT552,MT553,MT554,MT559,MT560,MT561
23.0,384.64790834306837,12.764648928052907,0.47502744400588465,0.0,0.0,0.0,371.4082312425539,0.0,67.45129785031594,91.38010163365112,122.82665566329462,16.544358088151025,16.364789071414926,23.106236428218345,6.019597850442196,7.298649118592532,4.361511259346508,3.9520998356676853,5.505855133243395,1.4290423830787784,1.721034478959036,0.06578171970616015,0.07739848172793434,0.9514765043942167,0.7637948447824827,1.029700704415773,0.18173609341937605,0.2117594985252555,0.1222319172226398,0.020774003924000594,0.022348913595129718
24.0,344.82952802064483,12.098325412671283,0.4845224698849591,0.0,0.0,0.0,332.2466804482452,0.0,62.19271029393923,81.41079354883573,108.55387905170008,15.157649331365267,14.721645845857804,20.56534094154354,5.165744058731015,6.237808286503531,3.98644251319738,3.556019390178442,4.905923089421603,1.2315179836978967,1.478112643888843,0.05427645945501098,0.06373341692187276,0.8704774904133188,0.6881705658800635,0.9175919184050931,0.156558742843433,0.18204245380609502,0.11161370031671364,0.018702924589628706,0.019925977543763677
25.0,310.56019594969064,11.510566441221648,0.49401749576403364,0.0,0.0,0.0,298.55561162683733,0.0,57.54928751590265,72.8962591004511,96.29269207208384,13.916964311904273,13.30289827303918,18.41055072959218,4.454308664524614,5.355845052456131,3.6592391729312292,3.2128871707837217,4.393687088140435,1.0668029664083813,1.275163120635579,0.04516792774226865,0.05283453588489697,0.7985174087249075,0.6210839766827202,0.8213550736568072,0.13578189591134038,0.1572064883779041,0.10233908900500105,0.01690615208361033,0.017833807645061633
26.0,280.5103867257924,10.922807469772016,0.5017753768792721,0.0,0.0,0.0,269.0858038796447,0.0,53.28356173071308,65.50943426448357,85.67412746017986,12.824492274823584,12.037349896182405,16.50977675921566,3.8601241551087693,4.626482898444333,3.3673110341376997,2.912072776084517,3.948923610965374,0.9284163537126847,1.1061847336672144,0.037754680167398275,0.04412092819577062,0.7340773171647597,0.5629455718169669,0.7383431115202247,0.11839383094622333,0.1364226835081735,0.09414167503169768,0.015313077042621593,0.01603274698303905
27.0,254.3788240107647,10.398345688877638,0.509298615285207,0.0,0.0,0.0,243.47118082222053,0.0,49.422747713581494,59.14163819106675,76.50988939548144,11.84701960768999,10.93909350840157,14.873587647918608,3.3639985952954605,4.021667164370587,3.1057380059082287,2.6467141121227726,3.5593813576939604,0.8129356333689924,0.9648014960695461,0.03179305431875066,0.03709615915614819,0.6772173064564236,0.5118884695473291,0.6660601086566315,0.10361369936837546,0.11904558212863169,0.08686893161468538,0.013923863452308498,0.014460492218551944
28.0,231.57723180748437,9.895193190384822,0.516821853691142,0.0,0.0,0.0,221.16521711271744,0.0,45.96525689047735,53.618340222296034,68.60787946394913,10.983791779815908,9.9718706362237,13.446732970558175,2.945594407725387,3.50714684799628,2.872181737580126,2.4129607005810554,3.2189476648680913,0.7137640583338325,0.8448878367685306,0.02694652977936512,0.0313695167332066,0.626109118167689,0.4670887798913325,0.6026748977580072,0.09108840733786969,0.10442459436645415,0.08038115691484024,0.012697925977759933,0.013080661348404672
29.0,211.5353180212568,9.417479935632592,0.5239322812339988,0.0,0.0,0.0,201.5939061101906,0.0,42.865953962157434,48.730259798251076,61.79218384186054,10.194351716518312,9.118818109469357,12.189511397163644,2.591105575755203,3.0712918387624986,2.664423912168841,2.207323953665623,2.921852482605692,0.6299646223603862,0.7424742799047219,0.022970446495088344,0.026699153687674025,0.5807892777982264,0.4270574307093306,0.5466798427889076,0.08039513430196885,0.09182620012340682,0.0744864886693826,0.01162177072261615,0.011864306233232728
30.0,193.74272253635823,8.995862141991035,0.530949620874527,0.0,0.0,0.0,184.21591111938133,0.0,40.07091028079335,44.31326940002197,55.84756509159578,9.48522074890186,8.349685656490097,11.07346829538126,2.2848463099580774,2.703312052923693,2.4771004325516173,2.023794854323258,2.658586370824252,0.5576525482547183,0.6557701866272106,0.019680438463244344,0.02280612115171339,0.5399502455804437,0.3913771833662153,0.4978091821401877,0.0713059910566799,0.08111248541777259,0.06923288056800424,0.010651256542773777,0.010803191941987705
31.0,177.97576957733764,8.574244348349477,0.5379669605150552,0.0,0.0,0.0,168.86355820657462,0.0,37.53819003553091,40.44041348971107,50.627253818229335,8.839289476059685,7.6669038909622484,10.096513512236976,2.0243060743159114,2.3894777448259563,2.3085240870422363,1.858976352311279,2.424055919443596,0.4961535924936071,0.5809099916079355,0.0169352449872257,0.01958499060482811,0.5025793494140558,0.35989828444879796,0.4542372610380017,0.06339007539162402,0.07188657197231287,0.06442970424967803,0.009788668389287051,0.00986015576090981
32.0,163.8589229044314,8.194552372685875,0.5442690373384272,0.0,0.0,0.0,155.12010149696908,0.0,35.231654953940975,37.00108845861705,45.94075946700851,8.254692312259074,7.058121028729713,9.225388056869445,1.8004482719599726,2.1183573237611033,2.153656485362794,1.7123315562496322,2.217819178598701,0.44224657036711384,0.5168319433935658,0.01463572733274712,0.016903656160116583,0.4691705730634136,0.3315829877670339,0.4156890916462315,0.056531290191997194,0.0640073372097006,0.06015536596051332,0.009017587514192868,0.00901227421493618
33.0,151.22482723893123,7.843467094577495,0.5493891281270822,0.0,0.0,0.0,142.8319710173674,0.0,33.05785878723843,33.9393781571949,41.826923632613756,7.728431362702383,6.514288380853578,8.45700935321773,1.6072618822235134,1.8834062858479474,2.014244330287062,1.5808905363017316,2.032608867263408,0.39544119160960645,0.460972777888979,0.012717840257593042,0.014652804747050784,0.4384094468038984,0.30601812251985017,0.3808824895983404,0.050614331114547786,0.057093180261537625,0.05626552078241917,0.00833338757659854,0.008268374163038647
