E_keV,photons_per_keV
8.267555555555555,2635162.691973554
8.367111111111111,2602612.317738828
8.466666666666665,2570827.4326199633
8.566222222222223,2539781.3473627376
8.665777777777777,2509448.599175738
8.765333333333333,2479804.8820802993
8.864888888888888,2450826.9819536135
8.964444444444444,2422492.715900144
9.064,2394780.8756185654
9.163555555555556,2367671.1744603813
9.26311111111111,2341144.19790247
9.362666666666666,2315181.3571794545
9.462222222222222,2289764.84584319
9.561777777777777,2264877.5990360063
9.661333333333333,2240503.255281983
9.76088888888889,2216626.120616468
9.860444444444443,2193231.134888578
9.959999999999999,2170303.840084655
10.059555555555555,2147830.3505326607
10.15911111111111,2125797.32485849
10.258666666666667,2104191.939575188
10.358222222222222,2083001.8641952118
10.457777777777777,2062215.237764247
10.557333333333332,2041820.6467227351
10.656888888888888,2021807.1040082984
10.756444444444444,2002164.0293186551
10.856,1982881.230460543
10.955555555555556,1963948.885715551
11.05511111111111,1945357.5271587789
11.154666666666666,1927098.02487077
11.254222222222221,1909161.57198743
11.353777777777777,1891539.6705364764
11.453333333333333,1874224.118012571
11.552888888888889,1857206.9946465746
11.652444444444443,1840480.6513274158
11.751999999999999,1824037.6981378605
11.851555555555555,1807870.993468103
11.95111111111111,1791973.6336734681
12.050666666666666,1776338.9432447692
12.150222222222222,1760960.4654619137
12.249777777777776,1745831.9535032625
12.349333333333332,1730947.36198503
12.448888888888888,1716300.8389066462
12.548444444444444,1701886.7179795383
12.648,1687699.5113182026
12.747555555555556,1673733.902473765
12.84711111111111,1659984.73979145
12.946666666666665,1646447.0300745205
13.046222222222221,1633115.932538322
13.145777777777777,1619986.75303905
13.245333333333333,1607054.9385627855
13.344888888888889,1594316.071961209
13.444444444444443,1581765.8669212027
13.543999999999999,1569400.1631563138
13.643555555555555,1557214.9218087376
13.74311111111111,1545206.2210511526
13.842666666666666,1533370.2518783428
13.942222222222222,1521703.3140791198
14.041777777777778,1510201.8123796007
14.141333333333332,1498862.2527493944
14.240888888888888,1487681.2388627224
14.340444444444444,1476655.4687069508
14.44,1465781.7313314127
14.539555555555555,1455056.9037298013
14.639111111111111,1444477.9478497733
14.738666666666665,1434041.907723749
14.838222222222221,1423745.9067152124
14.937777777777777,1413587.1448751327
15.037333333333333,1403562.896403391
15.136888888888889,1393670.5072103897
15.236444444444444,1383907.392574254
15.335999999999999,1374271.0348892857
15.435555555555554,1364758.9815015495
15.53511111111111,1355368.8426276802
15.634666666666666,1346098.2893532054
15.734222222222222,1336945.0517068577
15.833777777777778,1327906.9168075365
15.933333333333332,1318981.727080737
16.032888888888888,1310167.37854143
16.132444444444445,1301461.8191405218
16.232,1292863.0471721645
16.331555555555553,1284369.1097393162
16.43111111111111,1275978.1012750887
16.530666666666665,1267688.1621175231
16.630222222222223,1259497.477135557
16.729777777777777,1251404.2744040538
16.82933333333333,1243406.8239258577
16.92888888888889,1235503.4363989404
17.028444444444442,1227692.4620267989
17.128,1219972.2893703328
17.227555555555554,1212341.344239539
17.327111111111112,1204798.0886234064
17.426666666666666,1197341.019656497
17.52622222222222,1189968.6686207429
17.625777777777778,1182679.5999810752
17.72533333333333,1175472.4104535533
17.82488888888889,1168345.728104716
17.924444444444443,1161298.2114809535
