E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_25.52keV,subshell_MT535_3.81keV,subshell_MT536_3.53keV,subshell_MT537_3.36keV,subshell_MT538_0.72keV,subshell_MT539_0.61keV,subshell_MT540_0.58keV,subshell_MT541_0.38keV,subshell_MT542_0.37keV,subshell_MT543_0.10keV,subshell_MT544_0.07keV,subshell_MT545_0.06keV,subshell_MT546_0.01keV,subshell_MT547_0.01keV,subshell_MT550_0.01keV
17.0,149.54391728804845,7.132626310077604,0.4553671285799564,0.0,0.0,0.0,141.9559238244731,0.0,52.52392853030399,24.1051416095574,39.50249251656461,9.820629577854316,4.107721871054336,6.804709880504313,0.5144601714217946,0.6955153764120429,1.872788048531255,0.6867054417873935,1.128821019772453,0.05670685619779268,0.0752368727878451,0.06106606748140689
18.0,128.01143522775297,6.52855300803227,0.467141865316848,0.0,0.0,0.0,121.01574035931831,0.0,46.11201896027525,20.093391968212803,32.79482140653105,8.593586129802347,3.4509413961373485,5.69494316470031,0.40781669021868017,0.5495364091059491,1.6381260602410368,0.5780821099032404,0.9444725831938995,0.04506725256431945,0.0595328874551582,0.05340325065385623
19.0,110.45551357314744,5.981564286937778,0.47833557450931186,0.0,0.0,0.0,103.99561374371328,0.0,40.64899377728773,16.911472087704734,27.509331452736696,7.568258791879078,2.9248243159363105,4.804174625117622,0.3267312540230821,0.4393243965916699,1.4430105221736784,0.4902561877194539,0.7983957663278545,0.03615018175366672,0.04769766896453619,0.04699274733888458
20.0,95.96433772500542,5.461826806038531,0.4894116204700525,0.0,0.0,0.0,90.01309945776167,0.0,36.02955968111449,14.360170332309133,23.228227266141577,6.705702378640707,2.499904201040864,4.084944867556202,0.2646073106866486,0.3550206384317241,1.2775005179799988,0.41885579544187135,0.6789729663732262,0.02933462511204432,0.03864322489202111,0.04165556050407868
21.0,84.00118457295531,5.0043287104828424,0.49810185664712736,0.0,0.0,0.0,78.4987539757743,0.0,32.14220227032989,12.281207869653414,19.782203636534504,5.969511884223799,2.147912323165185,3.4980451030687116,0.21661404830183778,0.2894035596139584,1.1364371975442993,0.3608195005216502,0.5817670468246667,0.024040217895482413,0.031541164375914546,0.03704820806549235
22.0,73.89710789326044,4.550249414846627,0.5067920928242022,0.0,0.0,0.0,68.8400663688801,0.0,28.770164062931258,10.561926970063377,16.966315170837497,5.341476812545347,1.8580808241308409,3.014113160928211,0.17865072478288307,0.23849168678842975,1.017672529877885,0.31213761502346055,0.5020350068802593,0.019856821219495127,0.02600874075682808,0.03313615607065945
23.0,65.33103799335689,4.1097455795746995,0.5151087476967102,0.0,0.0,0.0,60.70618361533003,0.0,25.85105712464325,9.150555053917907,14.639910992747852,4.799842033080836,1.618631658842784,2.6110676079780193,0.14842870104923336,0.19780340996961837,0.9134091906775861,0.27189707877509034,0.43563306487586534,0.016542812768539996,0.021625683779426044,0.029779157123353953
24.0,57.985496927076625,3.629362541357016,0.5231890718427058,0.0,0.0,0.0,53.83294544310647,0.0,23.357871916755883,7.972702037961582,12.689030453366263,4.33026072376305,1.4155875773705278,2.2765511558272435,0.12443854339170132,0.16526280005172092,0.8240881348964048,0.2383471115928565,0.37995616381574027,0.013881312734842496,0.018097714246726796,0.02686976561429938
25.0,51.48728343742323,2.9937707993886233,0.5312693959887014,0.0,0.0,0.0,47.96224313841385,0.0,21.15935922045612,6.983416547190346,11.076576471776622,3.9184660886359244,1.2439769260055653,1.9961360934152972,0.10500785158962926,0.1391050905823783,0.7464109924258733,0.20955099170767827,0.3329684624793874,0.011720926640268059,0.01524318718784242,0.024304309664986184
26.0,278.95027755491617,3.0570519599694577,0.5374501572532419,0.0,0.0,0.0,275.3557753736689,232.46986242137297,19.2120017237366,6.139642569960191,9.709465556880323,3.5617242298377,1.0991111816225447,1.7553305988412522,0.0891165386751069,0.11787638719944424,0.6781151016180303,0.1851223971162535,0.2934257095421541,0.009960937014098118,0.012932515102270933,0.022087533550979727
27.0,253.26816032376001,3.3113853120400267,0.5433743373794245,0.0,0.0,0.0,249.41340070404638,210.86768660887057,17.528157000789733,5.427504184641325,8.557549331745301,3.2472435469517165,0.9750794753742836,1.55250589084485,0.07609715748666343,0.10051028630647656,0.6176513715368454,0.16430959991024524,0.2594204293969543,0.008508382467439747,0.011045320352722217,0.020132001031297097
28.0,231.00252971115285,3.4199857955294957,0.5492985175056073,0.0,0.0,0.0,227.03324555079612,192.27978067010193,16.032106800014216,4.814808549422571,7.5652095783606494,2.9665539972650707,0.8689749462045786,1.377415313004044,0.06532712635154671,0.08607829845151453,0.5648027031144206,0.14650682660425762,0.23048358100537736,0.007316100575256636,0.009464892229960286,0.01841606886738855
29.0,210.80806377650762,3.3818944075905315,0.5548439758864174,0.0,0.0,0.0,206.87132546033106,175.42245881889627,14.700084017780075,4.292967222886384,6.714990868312496,2.7199718327675937,0.7763030780987347,1.2282834486166954,0.05636827096744808,0.07413179263338268,0.5179486555571718,0.13108827575956436,0.20537662039905458,0.006323051242580407,0.008160466351350858,0.01686897186999396
30.0,193.04586992035394,3.299871270957581,0.5603040333827156,0.0,0.0,0.0,189.18569470805883,160.63610468386696,13.504988107416452,3.8403085542051247,5.989320414750051,2.502055263040781,0.6961271313944898,1.0978414325123047,0.048906377937440945,0.06415740671312128,0.4763380286464693,0.11759377501994062,0.1838922871588242,0.005487949700822281,0.007065516422383917,0.015507686965069288
31.0,177.29071618895964,3.2096120426195083,0.5657640908790138,0.0,0.0,0.0,173.51534000070725,147.51126618473444,12.451611760898611,3.4451189959692856,5.35674885564401,2.306403649737076,0.626722219039395,0.9843660052184766,0.0426498195357312,0.05577181812868073,0.4386651206000865,0.10583323656117122,0.16496354924193316,0.004782802575262063,0.006151275323878107,0.01428481926740098
