E_keV,mu_over_rho_cm2_per_g,MT502,MT504,MT515,MT516,MT517,photoelectric_total,subshell_MT534_29.20keV,subshell_MT535_4.47keV,subshell_MT536_4.16keV,subshell_MT537_3.93keV,subshell_MT538_0.89keV,subshell_MT539_0.76keV,subshell_MT540_0.72keV,subshell_MT541_0.50keV,subshell_MT542_0.49keV,subshell_MT543_0.14keV,subshell_MT544_0.10keV,subshell_MT545_0.09keV,subshell_MT546_0.03keV,subshell_MT547_0.03keV,subshell_MT550_0.01keV,MT551,MT552
246.0,1.2559708661060747,0.10804284494713443,0.5239343511852762,0.0,0.0,0.0,0.6239936704589474,0.5411852974268325,0.05607290624372336,0.0050082853310118745,0.005804523448161749,0.010800081762676786,0.0010085551933927783,0.0012058130960158862,1.4326610572546449e-05,1.6405566372030522e-05,0.0021978474269924862,0.0001935305712161542,0.00022449115651437723,2.165524998907997e-06,2.4560648737677367e-06,0.00024778812218489136,4.40199942181733e-06,4.794263166627792e-06
247.0,1.2473295149763937,0.10725514287462913,0.5233035857956845,0.0,0.0,0.0,0.6167707858503368,0.5348896714826888,0.05546285920942062,0.0049436914271281385,0.005729340822708222,0.010683159207071634,0.00099617757721063,0.0011902555147517062,1.4103250801826707e-05,1.6163900796972944e-05,0.002174063904902503,0.00019109360024232084,0.00022147027208067007,2.132967293927101e-06,2.4179277564537586e-06,0.0002451070216495621,4.347465931327047e-06,4.729780717893097e-06
248.0,1.2386913105576496,0.10646744080212382,0.5226728204060928,0.0,0.0,0.0,0.6095510501063017,0.528594045538545,0.05485281217511789,0.0048790975232444024,0.005656623407159173,0.010566236651466481,0.0009839674569140685,0.0011752065193181844,1.3885911208056507e-05,1.5922235221915365e-05,0.00215028038281252,0.00018865662926848746,0.00021844938764696293,2.1004095889462043e-06,2.3810204718291313e-06,0.00024242592111423285,4.2929324408367635e-06,4.665298269158402e-06
249.0,1.2304559071789822,0.10567973872961853,0.522042055016501,0.0,0.0,0.0,0.6027341122268058,0.5226969322475175,0.054242765140815156,0.004818510047914686,0.005583905991610124,0.010449314095861329,0.000971757336617507,0.0011601575238846626,1.3679701130815064e-05,1.5680569646857787e-05,0.002126496860722537,0.00018621965829465409,0.00021568982676907467,2.0678966647370007e-06,2.3459551869485023e-06,0.0002397448205789036,4.238398950346479e-06,4.606391000451874e-06
250.0,1.222403702339152,0.10489203665711323,0.5214112896269094,0.0,0.0,0.0,0.5961003745064051,0.5169816363647048,0.05363271810651243,0.004759116522210934,0.005511188576061075,0.010332391540256176,0.0009595472163209456,0.001145108528451141,1.347349105357362e-05,1.5438904071800208e-05,0.0021027133386325534,0.00018393692035705424,0.00021296123519672593,2.037252177379466e-06,2.3108899020678734e-06,0.00023706372004357433,4.184916183755404e-06,4.548144443150366e-06
251.0,1.2143567656820566,0.10410433458460792,0.5207805242373177,0.0,0.0,0.0,0.5894719076853441,0.5112663404818921,0.05302267107220969,0.004699722996507183,0.005438471160512026,0.010219727179683417,0.0009473370960243841,0.0011300595330176193,1.3267280976332177e-05,1.520763054618927e-05,0.002079795710380426,0.00018168912041783774,0.00021023264362437719,2.0066076900219315e-06,2.275824617187244e-06,0.00023448022505497245,4.133704468144537e-06,4.489897885848857e-06
252.0,1.2063562574401352,0.10331663251210263,0.5201603819542557,0.0,0.0,0.0,0.5828792437653854,0.5055510445990795,0.05244292793835392,0.004640329470803431,0.005366124439266792,0.010110789568201951,0.000935594426965463,0.001115087031195579,1.3064724243162698e-05,1.4985451172121823e-05,0.0020576359076973105,0.00017944132047862125,0.00020750405205202844,1.976556315237045e-06,2.2421082074271514e-06,0.00023198215390905622,4.082492752533671e-06,4.431651328547349e-06
253.0,1.1983877023989207,0.10252893043959732,0.5195427315109971,0.0,0.0,0.0,0.5763160399380106,0.4998357487162669,0.0518840474532812,0.004582476019465825,0.005299139823566428,0.010001851956720487,0.0009244240183165334,0.0011012210120306734,1.2876510934748667e-05,1.4763271798054375e-05,0.0020354761050141953,0.0001771935205394048,0.0002047754604796797,1.94783570660619e-06,2.2091821571411584e-06,0.00022948408276314,4.031431471694759e-06,4.373404771245841e-06
254.0,1.1906718888813375,0.10174122836709203,0.5189250810677384,0.0,0.0,0.0,0.5700055778315203,0.4943711096835829,0.05132516696820848,0.0045267052008430555,0.005232155207866064,0.00989291434523902,0.0009132536096676037,0.0010873549928657677,1.2688297626334637e-05,1.4541092423986928e-05,0.0020133163023310797,0.0001749457206001883,0.00020204686890733096,1.919115097975335e-06,2.1762561068551658e-06,0.00022698601161722377,3.983535196026477e-06,4.315158213944333e-06
255.0,1.183102430180879,0.10095352629458673,0.5183074306244797,0.0,0.0,0.0,0.5638414727122405,0.4890517730419025,0.050766286483135754,0.004470934382220286,0.0051651705921657,0.009784490642478357,0.0009020832010186741,0.0010734889737008622,1.2500084317920607e-05,1.4328680092366496e-05,0.001991261003468239,0.00017287191982888982,0.00019955229145532364,1.89039448934448e-06,2.1449707386676895e-06,0.00022449972044044476,3.935638920358196e-06,4.261904518990327e-06
256.0,1.1755408386927095,0.10016582422208142,0.517689780181221,0.0,0.0,0.0,0.5576852342902618,0.48373243640022207,0.05020740599806303,0.004415585723195074,0.005098185976465336,0.009682090977167579,0.0008909127923697444,0.0010596229545359567,1.2319070555238723e-05,1.4120069221014983e-05,0.0019704306982696643,0.00017081687403603204,0.00019708293785831714,1.8620609098842235e-06,2.114187807647013e-06,0.00022215151404870434,3.8877426446899144e-06,4.20918899342417e-06
