E_keV,mu_over_rho_cm2_per_g,tauK_over_rho_cm2_per_g
15.136888888888889,108.9991111111111,0.0
15.236444444444444,111.56819278746481,0.0
15.336,121.86179259712459,0.0
15.435555555555554,132.1553924067842,0.0
15.53511111111111,141.4229410002995,0.0
15.634666666666666,139.2761904761905,0.0
15.734222222222222,137.12943995208147,0.0
15.833777777777778,134.98268942797247,0.0
15.933333333333332,133.55817033887388,0.0
16.032888888888888,132.4027178628184,0.0
16.132444444444445,131.24726538676288,0.0
16.232,130.0918129107074,0.0
16.331555555555553,128.93636043465193,0.0
16.43111111111111,127.78090795859642,0.0
16.530666666666665,126.62545548254094,0.0
16.630222222222223,125.47000300648543,0.0
16.729777777777777,124.31455053042995,0.0
16.82933333333333,123.15909805437448,0.0
16.92888888888889,122.00364557831897,0.0
17.028444444444442,120.8481931022635,0.0
17.128,119.69274062620798,0.0
