E_keV,mu_over_rho_cm2_per_g,tauK_over_rho_cm2_per_g
14.937777777777775,29.252071111111142,0.0
15.037333333333333,28.424553788712206,0.0
15.136888888888889,28.116697225278084,0.0
15.236444444444444,27.808840661843963,0.0
15.336,27.50098409840984,0.0
15.435555555555554,27.193127534975723,0.0
15.53511111111111,26.8852709715416,0.0
15.634666666666666,26.57741440810748,0.0
15.734222222222222,26.269557844673358,0.0
15.833777777777778,25.961701281239236,0.0
15.933333333333332,25.653844717805118,0.0
16.032888888888888,25.345988154370996,0.0
16.132444444444445,25.03813159093687,0.0
16.232,24.730275027502753,0.0
16.331555555555553,24.422418464068635,0.0
16.43111111111111,24.11456190063451,0.0
16.530666666666665,23.80670533720039,0.0
16.630222222222223,23.498848773766262,0.0
16.729777777777777,23.190992210332148,0.0
16.82933333333333,22.883135646898033,0.0
16.92888888888889,22.575279083463904,0.0
